case_name,cv_100,cv_1000,cv_200,cv_400,cv_600,cv_800,dual_inf_100,dual_inf_1000,dual_inf_200,dual_inf_400,dual_inf_600,dual_inf_800,nlp_err_100,nlp_err_1000,nlp_err_200,nlp_err_400,nlp_err_600,nlp_err_800,obj_100,obj_1000,obj_200,obj_400,obj_600,obj_800
case_RTS_GMLC.m,2.7255975254547593e-14,2.7255975254547593e-14,2.7255975254547593e-14,2.7255975254547593e-14,2.7255975254547593e-14,2.7255975254547593e-14,1.4657153230161334e-12,1.4657153230161334e-12,1.4657153230161334e-12,1.4657153230161334e-12,1.4657153230161334e-12,1.4657153230161334e-12,3.1768346628902561e-09,3.1768346628902561e-09,3.1768346628902561e-09,3.1768346628902561e-09,3.1768346628902561e-09,3.1768346628902561e-09,1.9314847735396645e+03,1.9314847735396645e+03,1.9314847735396645e+03,1.9314847735396645e+03,1.9314847735396645e+03,1.9314847735396645e+03
case_ieee30.m,1.7774004490433981e-11,1.7774004490433981e-11,1.7774004490433981e-11,1.7774004490433981e-11,1.7774004490433981e-11,1.7774004490433981e-11,1.6411661591284282e-09,1.6411661591284282e-09,1.6411661591284282e-09,1.6411661591284282e-09,1.6411661591284282e-09,1.6411661591284282e-09,3.1184880155794665e-09,3.1184880155794665e-09,3.1184880155794665e-09,3.1184880155794665e-09,3.1184880155794665e-09,3.1184880155794665e-09,2.2265358519051480e+02,2.2265358519051480e+02,2.2265358519051480e+02,2.2265358519051480e+02,2.2265358519051480e+02,2.2265358519051480e+02
pglib_opf_case10000_goc.m,7.0979250275393140e-07,9.6662246956702447e-10,9.6662246956702447e-10,9.6662246956702447e-10,9.6662246956702447e-10,9.6662246956702447e-10,1.4385202580013967e-05,5.5022833989507309e-10,5.5022833989507309e-10,5.5022833989507309e-10,5.5022833989507309e-10,5.5022833989507309e-10,1.7067011520859781e-04,2.6496835209055004e-09,2.6496835209055004e-09,2.6496835209055004e-09,2.6496835209055004e-09,2.6496835209055004e-09,1.8402692679563297e+04,1.8402165185308855e+04,1.8402165185308855e+04,1.8402165185308855e+04,1.8402165185308855e+04,1.8402165185308855e+04
pglib_opf_case10000_goc__api.m,1.3302676359094878e-03,7.9820872134206408e-14,7.9820872134206408e-14,7.9820872134206408e-14,7.9820872134206408e-14,7.9820872134206408e-14,1.7649086629213116e+01,7.6974574172679061e-10,7.6974574172679061e-10,7.6974574172679061e-10,7.6974574172679061e-10,7.6974574172679061e-10,1.7649086629213116e+01,2.5060622805674374e-09,2.5060622805674374e-09,2.5060622805674374e-09,2.5060622805674374e-09,2.5060622805674374e-09,3.2259850857002435e+04,3.2248382764980182e+04,3.2248382764980182e+04,3.2248382764980182e+04,3.2248382764980182e+04,3.2248382764980182e+04
pglib_opf_case10480_goc__api.m,1.9717215042796710e-01,2.9881652707786088e-13,1.7450228186055572e-08,2.9881652707786088e-13,2.9881652707786088e-13,2.9881652707786088e-13,3.3397711646930725e+02,1.1424006317819235e-09,2.0537284122521725e-04,1.1424006317819235e-09,1.1424006317819235e-09,1.1424006317819235e-09,3.3397711646930725e+02,2.5634293239707436e-09,2.0537284122521725e-04,2.5634293239707436e-09,2.5634293239707436e-09,2.5634293239707436e-09,4.0774708097678813e+04,4.1852537359423033e+04,4.1852538779479226e+04,4.1852537359423033e+04,4.1852537359423033e+04,4.1852537359423033e+04
pglib_opf_case118_ieee.m,1.5121442639709493e-10,1.5121442639709493e-10,1.5121442639709493e-10,1.5121442639709493e-10,1.5121442639709493e-10,1.5121442639709493e-10,6.8598614332017348e-09,6.8598614332017348e-09,6.8598614332017348e-09,6.8598614332017348e-09,6.8598614332017348e-09,6.8598614332017348e-09,6.8598614332017348e-09,6.8598614332017348e-09,6.8598614332017348e-09,6.8598614332017348e-09,6.8598614332017348e-09,6.8598614332017348e-09,7.8032097059689602e+02,7.8032097059689602e+02,7.8032097059689602e+02,7.8032097059689602e+02,7.8032097059689602e+02,7.8032097059689602e+02
pglib_opf_case118_ieee__api.m,6.5747904240306857e-14,6.5747904240306857e-14,6.5747904240306857e-14,6.5747904240306857e-14,6.5747904240306857e-14,6.5747904240306857e-14,7.0369503401588655e-12,7.0369503401588655e-12,7.0369503401588655e-12,7.0369503401588655e-12,7.0369503401588655e-12,7.0369503401588655e-12,2.5064577437124092e-09,2.5064577437124092e-09,2.5064577437124092e-09,2.5064577437124092e-09,2.5064577437124092e-09,2.5064577437124092e-09,1.9444031763671419e+03,1.9444031763671419e+03,1.9444031763671419e+03,1.9444031763671419e+03,1.9444031763671419e+03,1.9444031763671419e+03
pglib_opf_case1354_pegase.m,2.8034084073786693e-10,2.8034084073786693e-10,2.8034084073786693e-10,2.8034084073786693e-10,2.8034084073786693e-10,2.8034084073786693e-10,1.3266164642505851e-10,1.3266164642505851e-10,1.3266164642505851e-10,1.3266164642505851e-10,1.3266164642505851e-10,1.3266164642505851e-10,4.9176070192645941e-09,4.9176070192645941e-09,4.9176070192645941e-09,4.9176070192645941e-09,4.9176070192645941e-09,4.9176070192645941e-09,1.0036029786965199e+04,1.0036029786965199e+04,1.0036029786965199e+04,1.0036029786965199e+04,1.0036029786965199e+04,1.0036029786965199e+04
pglib_opf_case1354_pegase__api.m,1.7267221991929610e-10,1.7267221991929610e-10,1.7267221991929610e-10,1.7267221991929610e-10,1.7267221991929610e-10,1.7267221991929610e-10,2.8321192917205757e-10,2.8321192917205757e-10,2.8321192917205757e-10,2.8321192917205757e-10,2.8321192917205757e-10,2.8321192917205757e-10,4.3295321487016047e-09,4.3295321487016047e-09,4.3295321487016047e-09,4.3295321487016047e-09,4.3295321487016047e-09,4.3295321487016047e-09,1.1944842163639185e+04,1.1944842163639185e+04,1.1944842163639185e+04,1.1944842163639185e+04,1.1944842163639185e+04,1.1944842163639185e+04
pglib_opf_case13659_pegase.m,9.4558177138313187e-04,2.5023957350711612e-09,2.5023957350711612e-09,2.5023957350711612e-09,2.5023957350711612e-09,2.5023957350711612e-09,1.0158964620233746e+02,6.1107472627903337e-09,6.1107472627903337e-09,6.1107472627903337e-09,6.1107472627903337e-09,6.1107472627903337e-09,1.0158964620233746e+02,6.1107472627903337e-09,6.1107472627903337e-09,6.1107472627903337e-09,6.1107472627903337e-09,6.1107472627903337e-09,6.8692427806691208e+04,6.8689068519723602e+04,6.8689068519723602e+04,6.8689068519723602e+04,6.8689068519723602e+04,6.8689068519723602e+04
pglib_opf_case13659_pegase__api.m,2.1740795093745935e-03,1.5818770807141114e-09,1.5818770807141114e-09,1.5818770807141114e-09,1.5818770807141114e-09,1.5818770807141114e-09,2.3131173137947385e+01,1.2532117128337711e-10,1.2532117128337711e-10,1.2532117128337711e-10,1.2532117128337711e-10,1.2532117128337711e-10,2.3131173137947385e+01,2.6804218049494628e-09,2.6804218049494628e-09,2.6804218049494628e-09,2.6804218049494628e-09,2.6804218049494628e-09,7.1322792551034698e+04,7.1269528777221072e+04,7.1269528777221072e+04,7.1269528777221072e+04,7.1269528777221072e+04,7.1269528777221072e+04
pglib_opf_case14_ieee.m,6.5614180755346752e-14,6.5614180755346752e-14,6.5614180755346752e-14,6.5614180755346752e-14,6.5614180755346752e-14,6.5614180755346752e-14,3.7339020764193265e-12,3.7339020764193265e-12,3.7339020764193265e-12,3.7339020764193265e-12,3.7339020764193265e-12,3.7339020764193265e-12,2.5059040485519139e-09,2.5059040485519139e-09,2.5059040485519139e-09,2.5059040485519139e-09,2.5059040485519139e-09,2.5059040485519139e-09,9.3602396804143794e+01,9.3602396804143794e+01,9.3602396804143794e+01,9.3602396804143794e+01,9.3602396804143794e+01,9.3602396804143794e+01
pglib_opf_case14_ieee__api.m,1.3544720900426910e-14,1.3544720900426910e-14,1.3544720900426910e-14,1.3544720900426910e-14,1.3544720900426910e-14,1.3544720900426910e-14,3.4457894315262476e-09,3.4457894315262476e-09,3.4457894315262476e-09,3.4457894315262476e-09,3.4457894315262476e-09,3.4457894315262476e-09,3.4457894315262476e-09,3.4457894315262476e-09,3.4457894315262476e-09,3.4457894315262476e-09,3.4457894315262476e-09,3.4457894315262476e-09,2.5782095134458876e+02,2.5782095134458876e+02,2.5782095134458876e+02,2.5782095134458876e+02,2.5782095134458876e+02,2.5782095134458876e+02
pglib_opf_case162_ieee_dtc.m,1.3295142764491175e-11,1.3295142764491175e-11,1.3295142764491175e-11,1.3295142764491175e-11,1.3295142764491175e-11,1.3295142764491175e-11,2.4326111236185272e-09,2.4326111236185272e-09,2.4326111236185272e-09,2.4326111236185272e-09,2.4326111236185272e-09,2.4326111236185272e-09,5.0080660158639539e-09,5.0080660158639539e-09,5.0080660158639539e-09,5.0080660158639539e-09,5.0080660158639539e-09,5.0080660158639539e-09,2.8078905762513323e+03,2.8078905762513323e+03,2.8078905762513323e+03,2.8078905762513323e+03,2.8078905762513323e+03,2.8078905762513323e+03
pglib_opf_case162_ieee_dtc__api.m,3.4978686613840182e-12,3.4978686613840182e-12,3.4978686613840182e-12,3.4978686613840182e-12,3.4978686613840182e-12,3.4978686613840182e-12,6.4115961902496169e-09,6.4115961902496169e-09,6.4115961902496169e-09,6.4115961902496169e-09,6.4115961902496169e-09,6.4115961902496169e-09,6.4115961902496169e-09,6.4115961902496169e-09,6.4115961902496169e-09,6.4115961902496169e-09,6.4115961902496169e-09,6.4115961902496169e-09,3.1434784859926326e+03,3.1434784859926326e+03,3.1434784859926326e+03,3.1434784859926326e+03,3.1434784859926326e+03,3.1434784859926326e+03
pglib_opf_case162_ieee_dtc__sad.m,1.0652945192646257e-10,1.0652945192646257e-10,1.0652945192646257e-10,1.0652945192646257e-10,1.0652945192646257e-10,1.0652945192646257e-10,5.7461875258013606e-09,5.7461875258013606e-09,5.7461875258013606e-09,5.7461875258013606e-09,5.7461875258013606e-09,5.7461875258013606e-09,5.7461875258013606e-09,5.7461875258013606e-09,5.7461875258013606e-09,5.7461875258013606e-09,5.7461875258013606e-09,5.7461875258013606e-09,2.8238701135033116e+03,2.8238701135033116e+03,2.8238701135033116e+03,2.8238701135033116e+03,2.8238701135033116e+03,2.8238701135033116e+03
pglib_opf_case179_goc.m,4.7229775645973859e-13,4.7229775645973859e-13,4.7229775645973859e-13,4.7229775645973859e-13,4.7229775645973859e-13,4.7229775645973859e-13,7.2870217861185276e-12,7.2870217861185276e-12,7.2870217861185276e-12,7.2870217861185276e-12,7.2870217861185276e-12,7.2870217861185276e-12,2.5059717555151208e-09,2.5059717555151208e-09,2.5059717555151208e-09,2.5059717555151208e-09,2.5059717555151208e-09,2.5059717555151208e-09,6.0499803258071915e+03,6.0499803258071915e+03,6.0499803258071915e+03,6.0499803258071915e+03,6.0499803258071915e+03,6.0499803258071915e+03
pglib_opf_case179_goc__api.m,1.4727774555467477e-11,1.4727774555467477e-11,1.4727774555467477e-11,1.4727774555467477e-11,1.4727774555467477e-11,1.4727774555467477e-11,1.2488261223866830e-10,1.2488261223866830e-10,1.2488261223866830e-10,1.2488261223866830e-10,1.2488261223866830e-10,1.2488261223866830e-10,2.5856949556575278e-09,2.5856949556575278e-09,2.5856949556575278e-09,2.5856949556575278e-09,2.5856949556575278e-09,2.5856949556575278e-09,1.5496946091463849e+04,1.5496946091463849e+04,1.5496946091463849e+04,1.5496946091463849e+04,1.5496946091463849e+04,1.5496946091463849e+04
pglib_opf_case1888_rte.m,1.4813983373329620e-12,1.4813983373329620e-12,1.4813983373329620e-12,1.4813983373329620e-12,1.4813983373329620e-12,1.4813983373329620e-12,1.2511112645721156e-10,1.2511112645721156e-10,1.2511112645721156e-10,1.2511112645721156e-10,1.2511112645721156e-10,1.2511112645721156e-10,2.5070278917459790e-09,2.5070278917459790e-09,2.5070278917459790e-09,2.5070278917459790e-09,2.5070278917459790e-09,2.5070278917459790e-09,1.0834426180324130e+04,1.0834426180324130e+04,1.0834426180324130e+04,1.0834426180324130e+04,1.0834426180324130e+04,1.0834426180324130e+04
pglib_opf_case1888_rte__api.m,6.6297065615117390e-09,6.6297065615117390e-09,6.6297065615117390e-09,6.6297065615117390e-09,6.6297065615117390e-09,6.6297065615117390e-09,3.0856113164978018e-10,3.0856113164978018e-10,3.0856113164978018e-10,3.0856113164978018e-10,3.0856113164978018e-10,3.0856113164978018e-10,6.6297065615117390e-09,6.6297065615117390e-09,6.6297065615117390e-09,6.6297065615117390e-09,6.6297065615117390e-09,6.6297065615117390e-09,1.5093544761185500e+04,1.5093544761185500e+04,1.5093544761185500e+04,1.5093544761185500e+04,1.5093544761185500e+04,1.5093544761185500e+04
pglib_opf_case1888_rte__sad.m,8.5853546494263355e-13,8.5853546494263355e-13,8.5853546494263355e-13,8.5853546494263355e-13,8.5853546494263355e-13,8.5853546494263355e-13,2.8249150618806370e-10,2.8249150618806370e-10,2.8249150618806370e-10,2.8249150618806370e-10,2.8249150618806370e-10,2.8249150618806370e-10,2.5067104411914232e-09,2.5067104411914232e-09,2.5067104411914232e-09,2.5067104411914232e-09,2.5067104411914232e-09,2.5067104411914232e-09,1.0922428701511888e+04,1.0922428701511888e+04,1.0922428701511888e+04,1.0922428701511888e+04,1.0922428701511888e+04,1.0922428701511888e+04
pglib_opf_case19402_goc.m,4.5102271571786572e+00,4.5150780683678171e-11,1.3109881949723476e+00,2.3041843197599832e-03,4.5150780683678171e-11,4.5150780683678171e-11,1.8613855702899823e+01,6.7469906549732864e-09,5.4682787880815615e+00,1.0568101236728964e+02,6.7469906549732864e-09,6.7469906549732864e-09,1.2572262735703252e+03,6.7469906549732864e-09,3.8976092264675407e+02,1.0568101236728964e+02,6.7469906549732864e-09,6.7469906549732864e-09,4.6047559637709390e+04,5.3353531084373310e+04,5.1077232689574033e+04,5.3359081429581522e+04,5.3353531084373310e+04,5.3353531084373310e+04
pglib_opf_case19402_goc__api.m,6.6069465405097212e+00,8.8279211619710851e-14,8.7900004068427684e-01,2.1966275706755134e-03,8.8279211619710851e-14,8.8279211619710851e-14,4.4014886020284678e+01,7.4259782517695547e-10,2.1424578341144161e+02,4.1559924093125665e+02,7.4259782517695547e-10,7.4259782517695547e-10,2.5736814968256026e+03,2.5060525528245058e-09,5.3424688308190082e+02,4.1559924093125665e+02,2.5060525528245058e-09,2.5060525528245058e-09,3.1432915428747474e+04,6.4706509863569750e+04,5.9742178449522879e+04,6.4720575580411198e+04,6.4706509863569750e+04,6.4706509863569750e+04
pglib_opf_case19402_goc__sad.m,4.9157322778892052e+00,2.3702824425431146e-11,1.4484565793214594e+00,1.0120837814076022e-04,2.3702824425431146e-11,2.3702824425431146e-11,2.0842420647801774e+01,3.2686967632574415e-09,1.4845400191302269e+02,6.7111902236130135e+01,3.2686967632574415e-09,3.2686967632574415e-09,1.4522980167686853e+03,3.2686967632574415e-09,3.6441218176752716e+02,6.7111902236130135e+01,3.2686967632574415e-09,3.2686967632574415e-09,4.5459064655618065e+04,5.3515207479710283e+04,5.0865790433423208e+04,5.3519453117426667e+04,5.3515207479710283e+04,5.3515207479710283e+04
